query_index	selectivity	bucket	centroid_margin	truth_list_count	nprobe_50	nprobe_90	nprobe_95	nprobe_100	maximum_truth_list_rank
206	0.01163	medium	0.06393725	8	6	68	68	68	68
207	0.52817	broad	0.039741993	4	2	5	9	9	9
208	0.1204	broad	0.013324261	7	4	35	105	105	105
209	0.1204	broad	0.0076327324	5	3	5	7	7	7
210	0.03786	medium	0.0095614195	8	9	23	25	25	25
211	0.01163	medium	0.00876224	8	5	26	65	65	65
212	0.1204	broad	0.003191352	7	3	14	17	17	17
213	0.52817	broad	0.085415244	2	1	1	25	25	25
214	0.52817	broad	0.010528803	4	2	3	6	6	6
215	0.52817	broad	0.013554573	6	5	13	27	27	27
216	0.29941	broad	0.00077342987	3	2	2	3	3	3
217	0.29941	broad	0.01874882	4	2	3	9	9	9
218	0.01163	medium	0.014507234	9	5	32	60	60	60
219	0.29941	broad	0.031446338	1	1	1	1	1	1
220	0.52817	broad	0.07661605	2	1	2	2	2	2
221	0.52817	broad	0.033271313	7	2	12	35	35	35
222	0.00216	rare	0.018990219	9	20	52	69	69	69
223	0.1204	broad	0.04243976	5	3	4	10	10	10
224	0.52817	broad	0.011641502	7	2	7	30	30	30
225	0.01163	medium	0.020339191	8	6	26	77	77	77
226	0.03786	medium	0.006126046	5	1	14	14	14	14
227	0.03786	medium	0.025669992	8	5	12	21	21	21
228	0.03786	medium	0.015408993	4	4	12	13	13	13
229	0.01163	medium	0.08156049	7	3	68	74	74	74
230	0.52817	broad	0.056594968	3	1	2	8	8	8
231	0.1204	broad	0.07222116	7	3	51	87	87	87
232	0.29941	broad	0.0005171299	8	8	30	61	61	61
233	0.29941	broad	0.079348385	3	1	2	5	5	5
234	0.29941	broad	0.018432796	6	3	6	8	8	8
235	0.29941	broad	0.06045544	7	3	8	17	17	17
236	0.03786	medium	0.09642917	5	2	7	30	30	30
237	0.1204	broad	0.047933936	5	1	39	47	47	47
238	0.01163	medium	0.088781714	5	1	7	11	11	11
239	0.00031	rare	0.016310632	6	48	50	115	115	115
240	0.03786	medium	0.12349856	1	1	1	1	1	1
241	0.01163	medium	0.01149261	4	2	9	109	109	109
242	0.52817	broad	0.0022354722	6	2	9	15	15	15
243	0.1204	broad	0.023926437	6	6	8	18	18	18
244	0.29941	broad	0.019643247	6	2	15	54	54	54
245	0.1204	broad	0.043406427	5	2	8	48	48	48
246	0.01163	medium	0.040620744	8	8	21	22	22	22
247	0.1204	broad	0.015379071	5	1	4	12	12	12
248	0.00216	rare	0.03590238	10	17	52	76	76	76
249	0.03786	medium	0.010323048	8	5	13	52	52	52
250	0.29941	broad	0.010524929	3	2	2	51	51	51
251	0.03786	medium	0.0013569593	8	7	113	126	126	126
252	0.00216	rare	0.020793676	10	23	110	120	120	120
253	0.01163	medium	0.005172193	6	2	32	52	52	52
254	0.52817	broad	0.03737241	5	2	16	21	21	21
255	0.00031	rare	0.05668074	9	111	127	138	138	138
256	0.03786	medium	0.017516553	9	21	42	43	43	43
