vector_count	dimension	vector_workload	filter_workload	selectivity	nlists	k	target_recall	method	runs	seeds	recall_min	recall_mean	recall_max	p50_min_ms	p50_median_ms	p50_max_ms	p95_min_ms	p95_median_ms	p95_max_ms	candidates_scored_mean	lists_probed_mean	oracle_wins	planner_regret_median	planner_regret_max	claim_passed	probe_safety_factor	candidate_multiplier	postfilter_candidate_multiplier_median	postfilter_safety_factor	vector_weight	filter_weight	rerank_factor
10000	128	clustered	correlated	0.001	64	10	0.95	filter_aware	1	51	1.0	1.0	1.0	0.009958	0.009958	0.009958	0.011375	0.011375	0.011375	10.0	64.0	0	2.0885986586657257	2.0885986586657257	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	0.001	64	10	0.95	filter_aware_bound	1	51	1.0	1.0	1.0	0.005625	0.005625	0.005625	0.006584	0.006584	0.006584	10.0	2.0	0	2.0885986586657257	2.0885986586657257	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	0.001	64	10	0.95	ivf_postfilter	1	51	1.0	1.0	1.0	1.124	1.124	1.124	1.249166	1.249166	1.249166	10000.0	64.0	0	2.0885986586657257	2.0885986586657257	true	8.0	16.0	4.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	0.001	64	10	0.95	ivf_prefilter	1	51	1.0	1.0	1.0	0.008208	0.008208	0.008208	0.0095	0.0095	0.0095	10.0	64.0	0	2.0885986586657257	2.0885986586657257	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	0.01	64	10	0.95	auto	1	51	1.0	1.0	1.0	0.007416	0.007416	0.007416	0.007916	0.007916	0.007916	100.0	0.0	0	1.4961254961254962	1.4961254961254962	true	8.0	16.0	8.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	0.01	64	10	0.95	exact	1	51	1.0	1.0	1.0	0.004667	0.004667	0.004667	0.005291	0.005291	0.005291	100.0	0.0	1	1.4961254961254962	1.4961254961254962	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	0.01	64	10	0.95	filter_aware	1	51	1.0	1.0	1.0	0.013791	0.013791	0.013791	0.016042	0.016042	0.016042	100.0	64.0	0	1.4961254961254962	1.4961254961254962	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	0.01	64	10	0.95	filter_aware_bound	1	51	1.0	1.0	1.0	0.010667	0.010667	0.010667	0.011791	0.011791	0.011791	100.0	23.0	0	1.4961254961254962	1.4961254961254962	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	0.01	64	10	0.95	ivf_postfilter	1	51	1.0	1.0	1.0	0.86425	0.86425	0.86425	0.93925	0.93925	0.93925	10000.0	64.0	0	1.4961254961254962	1.4961254961254962	true	8.0	16.0	8.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	0.01	64	10	0.95	ivf_prefilter	1	51	1.0	1.0	1.0	0.012541	0.012541	0.012541	0.014333	0.014333	0.014333	100.0	64.0	0	1.4961254961254962	1.4961254961254962	true	8.0	16.0	0.0	2.0	0.5	0.5	4
