experiment	vector_count	dimension	vector_workload	filter_workload	selectivity	seed	method	executed_methods	selected_nprobe	selection_achieved	train_recall	train_p50_ms	train_p95_ms	heldout_recall	heldout_p50_ms	heldout_p95_ms	candidates_visited	candidates_scored	lists_probed	build_seconds	index_megabytes	postfilter_ranking_seconds	postfilter_ranking_megabytes	maxrss_megabytes	oracle_method	planner_regret	claim_passed	claim_speedup_p95	probe_safety_factor	candidate_multiplier	postfilter_candidate_multiplier	postfilter_safety_factor	vector_weight	filter_weight	rerank_factor
boundary-n10000-d128-clustered-random-s1_0-seed51	10000	128	clustered	random	1.0	51	exact	exact	0	true	1.0	0.318334	0.362417	1.0	0.36675	0.393292	10000.0	10000.0	0.0	0.361791833	0.489166259765625	0.0555645	7.6187591552734375	727.734375	filter_aware	1.0645968992248063	false	1.013891472868217	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-random-s1_0-seed51	10000	128	clustered	random	1.0	51	ivf_prefilter	ivf_prefilter	16	true	1.0	0.100209	0.128875	1.0	0.106625	0.137042	2545.42	2545.42	16.0	0.361791833	0.489166259765625	0.0555645	7.6187591552734375	727.734375	filter_aware	1.0645968992248063	false	1.013891472868217	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-random-s1_0-seed51	10000	128	clustered	random	1.0	51	ivf_postfilter	ivf_postfilter	16	true	1.0	0.103084	0.12675	1.0	0.110791	0.130792	2545.42	2545.42	16.0	0.361791833	0.489166259765625	0.0555645	7.6187591552734375	727.734375	filter_aware	1.0645968992248063	false	1.013891472868217	8.0	16.0	8.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-random-s1_0-seed51	10000	128	clustered	random	1.0	51	filter_aware	filter_aware	16	true	1.0	0.103	0.135916	1.0	0.109458	0.129	2545.42	2545.42	16.0	0.361791833	0.489166259765625	0.0555645	7.6187591552734375	727.734375	filter_aware	1.0645968992248063	false	1.013891472868217	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-random-s1_0-seed51	10000	128	clustered	random	1.0	51	filter_aware_bound	filter_aware_bound	16	true	1.0	0.129875	0.148375	1.0	0.135583	0.155667	2972.96	2972.96	16.0	0.361791833	0.489166259765625	0.0555645	7.6187591552734375	727.734375	filter_aware	1.0645968992248063	false	1.013891472868217	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-random-s1_0-seed51	10000	128	clustered	random	1.0	51	auto	ivf_postfilter	0	true	NaN	NaN	NaN	1.0	0.114083	0.137333	2545.42	2545.42	16.0	0.361791833	0.489166259765625	0.0555645	7.6187591552734375	727.734375	filter_aware	1.0645968992248063	false	1.013891472868217	8.0	16.0	8.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-correlated-s0_001-seed51	10000	128	clustered	correlated	0.001	51	exact	exact	0	true	1.0	0.001667	0.002167	1.0	0.001833	0.002833	10.0	10.0	0.0	0.361791833	0.490875244140625	0.0555645	7.6187591552734375	727.84375	exact	2.0885986586657257	true	189.7275212636695	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-correlated-s0_001-seed51	10000	128	clustered	correlated	0.001	51	ivf_prefilter	ivf_prefilter	64	true	1.0	0.008125	0.009417	1.0	0.008208	0.0095	10.0	10.0	64.0	0.361791833	0.490875244140625	0.0555645	7.6187591552734375	727.84375	exact	2.0885986586657257	true	189.7275212636695	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-correlated-s0_001-seed51	10000	128	clustered	correlated	0.001	51	ivf_postfilter	ivf_postfilter	64	true	1.0	1.204666	1.3015	1.0	1.124	1.249166	10000.0	10000.0	64.0	0.361791833	0.490875244140625	0.0555645	7.6187591552734375	727.84375	exact	2.0885986586657257	true	189.7275212636695	8.0	16.0	4.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-correlated-s0_001-seed51	10000	128	clustered	correlated	0.001	51	filter_aware	filter_aware	64	true	1.0	0.012292	0.01425	1.0	0.009958	0.011375	10.0	10.0	64.0	0.361791833	0.490875244140625	0.0555645	7.6187591552734375	727.84375	exact	2.0885986586657257	true	189.7275212636695	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-correlated-s0_001-seed51	10000	128	clustered	correlated	0.001	51	filter_aware_bound	filter_aware_bound	16	true	1.0	0.00675	0.007417	1.0	0.005625	0.006584	10.0	10.0	2.0	0.361791833	0.490875244140625	0.0555645	7.6187591552734375	727.84375	exact	2.0885986586657257	true	189.7275212636695	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-correlated-s0_001-seed51	10000	128	clustered	correlated	0.001	51	auto	exact	0	true	NaN	NaN	NaN	1.0	0.004958	0.005917	10.0	10.0	0.0	0.361791833	0.490875244140625	0.0555645	7.6187591552734375	727.84375	exact	2.0885986586657257	true	189.7275212636695	8.0	16.0	4.0	2.0	0.5	0.5	4
