experiment	vector_count	dimension	vector_workload	filter_workload	selectivity	seed	method	executed_methods	selected_nprobe	selection_achieved	train_recall	train_p50_ms	train_p95_ms	heldout_recall	heldout_p50_ms	heldout_p95_ms	candidates_visited	candidates_scored	lists_probed	build_seconds	index_megabytes	postfilter_ranking_seconds	postfilter_ranking_megabytes	maxrss_megabytes	oracle_method	planner_regret	claim_passed	claim_speedup_p95	probe_safety_factor	candidate_multiplier	postfilter_candidate_multiplier	postfilter_safety_factor	vector_weight	filter_weight	rerank_factor
final100k-n100000-d128-clustered-correlated-s0_05-seed49	100000	128	clustered	correlated	0.05	49	ivf_prefilter	ivf_prefilter	64	true	1.0	0.430292	0.485	1.0	0.385583	0.444583	5000.0	5000.0	64.0	2.097774167	2.85693359375	4.981861125	153.2085723876953	978.40625	filter_aware_bound	1.1341528607381117	true	59.95896179091799	8.0	16.0	0.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_05-seed49	100000	128	clustered	correlated	0.05	49	ivf_postfilter	ivf_postfilter	64	true	1.0	19.582708	28.611084	1.0	19.056208	24.563208	100000.0	100000.0	64.0	2.097774167	2.85693359375	4.981861125	153.2085723876953	978.40625	filter_aware_bound	1.1341528607381117	true	59.95896179091799	8.0	16.0	64.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_05-seed49	100000	128	clustered	correlated	0.05	49	filter_aware	filter_aware	64	true	1.0	0.460916	0.560875	1.0	0.380375	0.418584	5000.0	5000.0	64.0	2.097774167	2.85693359375	4.981861125	153.2085723876953	978.40625	filter_aware_bound	1.1341528607381117	true	59.95896179091799	8.0	16.0	0.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_05-seed49	100000	128	clustered	correlated	0.05	49	filter_aware_bound	filter_aware_bound	64	true	1.0	0.447458	0.497375	1.0	0.397084	0.409667	4979.02	4979.02	51.845	2.097774167	2.85693359375	4.981861125	153.2085723876953	978.40625	filter_aware_bound	1.1341528607381117	true	59.95896179091799	8.0	16.0	0.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_05-seed49	100000	128	clustered	correlated	0.05	49	auto	exact	0	true	NaN	NaN	NaN	1.0	0.426625	0.464625	5000.0	5000.0	0.0	2.097774167	2.85693359375	4.981861125	153.2085723876953	978.40625	filter_aware_bound	1.1341528607381117	true	59.95896179091799	8.0	16.0	64.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_1-seed49	100000	128	clustered	correlated	0.1	49	exact	exact	0	true	1.0	0.985709	1.203708	1.0	0.83275	0.900125	10000.0	10000.0	0.0	2.097774167	2.85064697265625	4.981861125	153.2085723876953	978.40625	filter_aware_bound	1.1704820742210227	true	30.321581512460774	8.0	16.0	0.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_1-seed49	100000	128	clustered	correlated	0.1	49	ivf_prefilter	ivf_prefilter	64	true	1.0	0.800375	0.98525	1.0	0.782125	0.862291	10000.0	10000.0	64.0	2.097774167	2.85064697265625	4.981861125	153.2085723876953	978.40625	filter_aware_bound	1.1704820742210227	true	30.321581512460774	8.0	16.0	0.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_1-seed49	100000	128	clustered	correlated	0.1	49	ivf_postfilter	ivf_postfilter	64	true	1.0	18.02775	21.32625	1.0	17.752459	25.4335	100000.0	100000.0	64.0	2.097774167	2.85064697265625	4.981861125	153.2085723876953	978.40625	filter_aware_bound	1.1704820742210227	true	30.321581512460774	8.0	16.0	64.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_1-seed49	100000	128	clustered	correlated	0.1	49	filter_aware	filter_aware	64	true	1.0	0.946292	1.257292	1.0	0.783292	0.846666	10000.0	10000.0	64.0	2.097774167	2.85064697265625	4.981861125	153.2085723876953	978.40625	filter_aware_bound	1.1704820742210227	true	30.321581512460774	8.0	16.0	0.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_1-seed49	100000	128	clustered	correlated	0.1	49	filter_aware_bound	filter_aware_bound	64	true	1.0	0.802084	0.973958	1.0	0.774084	0.838792	9921.95	9921.95	58.665	2.097774167	2.85064697265625	4.981861125	153.2085723876953	978.40625	filter_aware_bound	1.1704820742210227	true	30.321581512460774	8.0	16.0	0.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_1-seed49	100000	128	clustered	correlated	0.1	49	auto	exact	0	true	NaN	NaN	NaN	1.0	0.871709	0.981791	10000.0	10000.0	0.0	2.097774167	2.85064697265625	4.981861125	153.2085723876953	978.40625	filter_aware_bound	1.1704820742210227	true	30.321581512460774	8.0	16.0	64.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_01-seed50	100000	128	clustered	correlated	0.01	50	exact	exact	0	true	1.0	0.091166	0.107625	1.0	0.107542	0.123125	1000.0	1000.0	0.0	2.254392958	2.8805999755859375	5.136835792	152.57201385498047	1052.3125	filter_aware	0.918870264064294	true	210.66398163031	8.0	16.0	0.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_01-seed50	100000	128	clustered	correlated	0.01	50	ivf_prefilter	ivf_prefilter	64	true	1.0	0.098	0.118458	1.0	0.115541	0.13925	1000.0	1000.0	64.0	2.254392958	2.8805999755859375	5.136835792	152.57201385498047	1052.3125	filter_aware	0.918870264064294	true	210.66398163031	8.0	16.0	0.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_01-seed50	100000	128	clustered	correlated	0.01	50	ivf_postfilter	ivf_postfilter	64	true	1.0	19.863667	22.989875	1.0	19.608917	22.936041	100000.0	100000.0	64.0	2.254392958	2.8805999755859375	5.136835792	152.57201385498047	1052.3125	filter_aware	0.918870264064294	true	210.66398163031	8.0	16.0	16.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_01-seed50	100000	128	clustered	correlated	0.01	50	filter_aware	filter_aware	64	true	1.0	0.109084	0.138	1.0	0.097625	0.108875	1000.0	1000.0	64.0	2.254392958	2.8805999755859375	5.136835792	152.57201385498047	1052.3125	filter_aware	0.918870264064294	true	210.66398163031	8.0	16.0	0.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_01-seed50	100000	128	clustered	correlated	0.01	50	filter_aware_bound	filter_aware_bound	64	true	1.0	0.107958	0.129916	1.0	0.098416	0.11475	1000.0	1000.0	43.0	2.254392958	2.8805999755859375	5.136835792	152.57201385498047	1052.3125	filter_aware	0.918870264064294	true	210.66398163031	8.0	16.0	0.0	2.0	0.5	0.5	4
